incident_id,trip_id,truck_id,driver_id,incident_date,incident_type,location_city,location_state,at_fault_flag,injury_flag,vehicle_damage_cost,cargo_damage_cost,claim_amount,preventable_flag,description
INC00000001,TRIP00036079,TRK00006,DRV00006,2023-04-09 14:00:00,Moving Violation,Columbus,PA,True,False,12629.26,0.0,12629.26,True,Severe incident involving equipment
INC00000002,TRIP00032462,TRK00084,DRV00006,2023-02-19 11:00:00,Moving Violation,Columbus,NC,False,False,2700.7,14284.24,16984.94,False,Severe incident involving weather
INC00000003,TRIP00067583,TRK00106,DRV00119,2024-05-20 01:00:00,Customer Complaint,Seattle,OK,True,False,24302.32,0.0,24302.32,True,Minor incident involving traffic
INC00000004,TRIP00049128,TRK00085,DRV00134,2023-09-26 03:00:00,Equipment Damage,Kansas City,TN,True,False,4879.13,0.0,4879.13,True,Moderate incident involving equipment
INC00000005,TRIP00062884,TRK00014,DRV00133,2024-03-20 14:00:00,DOT Violation,Las Vegas,IN,False,False,14951.4,0.0,14951.4,False,Minor incident involving other driver
INC00000006,TRIP00004361,TRK00007,DRV00005,2022-02-27 18:00:00,Equipment Damage,Oklahoma City,CO,False,True,0.0,0.0,0.0,False,Minor incident involving weather
INC00000007,TRIP00012773,TRK00007,DRV00109,2022-06-13 02:00:00,DOT Violation,Portland,TX,True,False,12589.05,28315.16,40904.21,True,Moderate incident involving traffic
INC00000008,TRIP00072329,TRK00115,DRV00060,2024-07-17 20:00:00,Accident,Phoenix,TX,False,False,15572.01,0.0,15572.01,False,Moderate incident involving equipment
INC00000009,TRIP00043143,TRK00107,DRV00003,2023-07-08 02:00:00,Customer Complaint,Oklahoma City,TX,False,True,22283.17,379.1,22662.27,False,Moderate incident involving traffic
INC00000010,TRIP00068700,TRK00074,DRV00132,2024-06-03 04:00:00,Equipment Damage,Detroit,PA,False,False,0.0,33901.9,33901.9,False,Severe incident involving equipment
INC00000011,TRIP00022792,TRK00007,DRV00041,2022-10-18 02:00:00,Equipment Damage,Milwaukee,NE,True,False,18252.77,0.0,18252.77,True,Severe incident involving weather
INC00000012,TRIP00048458,TRK00007,DRV00147,2023-09-16 03:00:00,Customer Complaint,Omaha,AZ,False,False,0.0,0.0,0.0,True,Severe incident involving equipment
INC00000013,TRIP00055475,TRK00040,DRV00104,2023-12-16 18:00:00,Customer Complaint,Indianapolis,TX,False,True,0.0,0.0,0.0,True,Moderate incident involving equipment
INC00000014,TRIP00045572,TRK00058,DRV00113,2023-08-10 17:00:00,DOT Violation,Portland,TN,False,False,0.0,0.0,0.0,False,Minor incident involving weather
INC00000015,TRIP00043170,TRK00026,DRV00058,2023-07-08 02:00:00,Accident,Atlanta,TN,False,False,4497.67,0.0,4497.67,True,Moderate incident involving traffic
INC00000016,TRIP00033560,TRK00099,DRV00079,2023-03-07 03:00:00,DOT Violation,Chicago,AZ,True,False,3082.44,0.0,3082.44,False,Moderate incident involving weather
INC00000017,TRIP00078434,TRK00007,DRV00102,2024-10-05 04:00:00,Customer Complaint,Salt Lake City,NY,False,True,0.0,0.0,0.0,True,Severe incident involving equipment
INC00000018,TRIP00051688,TRK00039,DRV00132,2023-10-27 13:00:00,DOT Violation,Miami,WI,False,True,9695.95,0.0,9695.95,True,Severe incident involving weather
INC00000019,TRIP00064255,TRK00020,DRV00119,2024-04-05 09:00:00,Accident,Miami,TN,False,False,5672.35,0.0,5672.35,True,Severe incident involving traffic
INC00000020,TRIP00005520,TRK00108,DRV00122,2022-03-11 09:00:00,Accident,Milwaukee,WI,False,False,12824.5,0.0,12824.5,False,Moderate incident involving weather
INC00000021,TRIP00028811,TRK00086,DRV00066,2023-01-06 04:00:00,Moving Violation,Portland,AZ,False,False,0.0,0.0,0.0,True,Minor incident involving other driver
INC00000022,TRIP00030106,TRK00061,DRV00058,2023-01-20 04:00:00,Accident,Houston,NY,False,False,19400.81,0.0,19400.81,True,Minor incident involving traffic
INC00000023,TRIP00006542,TRK00057,DRV00062,2022-03-25 12:00:00,Accident,Detroit,OH,False,False,3931.12,40113.96,44045.08,False,Minor incident involving equipment
INC00000024,TRIP00016403,TRK00116,DRV00057,2022-07-30 12:00:00,Customer Complaint,Charlotte,PA,False,False,2870.01,0.0,2870.01,False,Moderate incident involving traffic
INC00000025,TRIP00074001,TRK00025,DRV00002,2024-08-07 10:00:00,Equipment Damage,Memphis,PA,False,True,22117.89,0.0,22117.89,False,Moderate incident involving weather
INC00000026,TRIP00064319,TRK00082,DRV00038,2024-04-08 06:00:00,DOT Violation,Los Angeles,CO,True,True,18303.46,0.0,18303.46,False,Minor incident involving traffic
